Name,Address,Price,Rating,Image_URL
Cork coaster square Tatakan gelas gabus kotak Tatakan gabus,Jakarta Barat,Rp3.500,4.9,https://s0.bukalapak.com/img/09725517592/s-330-330/8da0a9b4_8cbd_4cbf_a2f0_89cc7c8e872a.jpg.webp
Tatakan Alas Anti Panas Silikon Silicone Besar Diameter 20 CM A261,Jakarta Barat,Rp7.000,4.9,https://s4.bukalapak.com/img/966794752/s-330-330/A261A.jpg.webp
Teko gooseneck thermometer hitam teflon teko kopi leher angsa black,Jakarta Barat,Rp225.000,4.9,https://s3.bukalapak.com/img/31737417592/s-330-330/8941c416_e4f6_477f_a871_e3d3e1e6dd8d.jpg.webp
Lion Star Jolly Box 300 Kotak Perkakas Sparepart Spare Part Case,Jakarta Barat,Rp36.000,4.8,https://s4.bukalapak.com/img/49714182103/s-330-330/lion_jolly_100_2.jpg.webp
ceramic dumplings plate piring makan kecil 2in1 snack dimsum sushi,Jakarta Barat,Rp52.000,4.9,https://s3.bukalapak.com/img/35240517592/s-330-330/a10e3d5b_7ac4_42d2_b233_1d22d8825224.jpg.webp
premium boston shaker set 11pcs bartender tools paket shaker sultan,Jakarta Barat,Rp570.000,5,https://s0.bukalapak.com/img/57549417592/s-330-330/12287347_d428_496d_9c56_23c5f0824d74.jpg.webp
Gelas ukur plastik 100ml measuring cup 100 ml murah garis bening,Kab. Bandung,Rp6.400,4.9,https://s2.bukalapak.com/img/74881973092/s-330-330/data.png.webp
Lion Star GL 87 Fresco Glass Gelas Teh Kopi Bir 450 ml Plastik,Jakarta Barat,Rp11.500,5,https://s4.bukalapak.com/img/92487315103/s-330-330/WhatsApp_Image_2019_11_08_at_143047.jpg.webp
Paket sedotan stainless set sedotan bubble sikat dan pouch buble,Jakarta Barat,Rp19.000,5,https://s4.bukalapak.com/img/44921517592/s-330-330/155085074455513_ba398046_feb9_4917_94a0_b0ccf8236151.png.webp
Milk jug pitcher dengan garis 600ml measurement latte jug stainless steel,Kab. Bandung,Rp80.000,4.9,https://s3.bukalapak.com/img/3899803562/s-330-330/image.jpg.webp
Paket alat makan set kotak box dan pouch cutlery set sendok garpu,Jakarta Barat,Rp59.000,5,https://s4.bukalapak.com/img/92840517592/s-330-330/55b69b93_1ae9_4a51_adb9_c47f73d989e6.jpg.webp
YT022 Gantungan 3 kait serbaguna tempel dinding,Jakarta Barat,Rp1.900,4.9,https://s0.bukalapak.com/img/56006839192/s-330-330/data.jpeg.webp
Teko teh kopi dengan saringan 2liter 2000ml kaca tea pot glass elegan,Kab. Bandung,Rp60.000,4.9,https://s1.bukalapak.com/img/65710442271/s-330-330/data.jpeg.webp
Muk cangkir  8cm gelas stainless steel tebal murah elegan,Kab. Bandung,Rp9.000,4.9,https://s3.bukalapak.com/img/35650101292/s-330-330/data.jpeg.webp
Lock & Lock New Feather Tumbler Termos Botol Tahan Panas Dingin HotnCool 450ml WhiteBlue LHC4131WB,Kab. Tangerang,Rp220.000,4.9,https://s1.bukalapak.com/img/1725697224/s-330-330/Lock___Lock_New_Feather_Tumbler_Termos_Botol_Tahan_Panas_Din.jpg.webp
Kardus untuk Packing Pengaman Paket l dus untuk packing,Jakarta Barat,Rp2.500,4.3,https://s2.bukalapak.com/img/7619793263/s-330-330/dus.jpg.webp
premium jigger stainless 30 60ml gelas takar ukur cocktail bar warna,Jakarta Barat,Rp64.000,5,https://s0.bukalapak.com/img/06657417592/s-330-330/b676594c_08e1_43e8_9d8b_12b36fd41c98.jpg.webp
Cat paw wooden coaster tatakan alas gelas cangkir kayu table pad,Jakarta Barat,Rp21.000,5,https://s0.bukalapak.com/img/00614517592/s-330-330/af01be5f_2331_4191_9b29_52d5c42b0b68.jpg.webp
paket alat makan gift box set souvenir hampers sendok garpu sultan,Jakarta Barat,Rp300.000,4.9,https://s3.bukalapak.com/img/32510517592/s-330-330/0160b3fb_cc04_4ba6_9802_1147c917812d.jpg.webp
Milk jug 350ml pitcher measurement latte jug polos stainless steel,Kab. Bandung,Rp55.000,4.9,https://s1.bukalapak.com/img/6869782562/s-330-330/image.jpg.webp
boston shaker glass recipe cocktail 400ml 750ml gelas stainless bar,Jakarta Barat,Rp90.000,4.9,https://s2.bukalapak.com/img/21987417592/s-330-330/979dd998_0903_4d39_83a5_f91aa4f78b34.jpg.webp
japanese teapot set oshin portable travel teko teh tea pot black,Jakarta Barat,Rp125.000,4.9,https://s3.bukalapak.com/img/82331517592/s-330-330/d2e0007c_3f59_45eb_9ca5_eceb52b3e89b.jpg.webp
dripper glass coffee pour over V60 ceramic gelas kopi drip keramik,Jakarta Barat,Rp49.500,4.9,https://s0.bukalapak.com/img/03719980792/s-330-330/f537de69_cc91_4a6b_8c7c_c36847769b81.jpg.webp
japanese hand painted ceramic steak plate piring makan keramik retro,Jakarta Barat,Rp47.000,5,https://s4.bukalapak.com/img/99521517592/s-330-330/fe587c4e_2707_4b7e_96e3_b622bda20ec5.jpg.webp
Sendok sumpit korea stainless chopstick spoon korea sujeo set,Jakarta Barat,Rp36.000,5,https://s2.bukalapak.com/img/23084517592/s-330-330/154245429502812_6610c4ca_ce32_49d7_9a1d_fd23e3598c8e.png.webp
Lion Star TB-1 Tooth Brush Holder Large Tempat Sikat Gigi,Jakarta Barat,Rp37.500,4.8,https://s1.bukalapak.com/img/13352715103/s-330-330/Lion_Star_TB_1_Tooth_Brush_Holder_Large_Tempat_Sikat_Gigi.jpeg.webp
Wooden coaster set paket set alas tatakan gelas cangkir kayu isi 6,Jakarta Barat,Rp80.000,4.9,https://s0.bukalapak.com/img/02024517592/s-330-330/f9834363_6fd5_471b_8d13_bb7b1fafe4e3.jpg.webp
Teko kopi hitam teflon thermometer 900ml gooseneck kettle pour over,Jakarta Barat,Rp220.000,4.9,https://s2.bukalapak.com/img/26324517592/s-330-330/6bda1033_c8f0_453b_9d8a_d134d2fa40fc.jpg.webp
Sumpit portable wheat straw sujeo chopstick korea jepang chinese,Jakarta Barat,Rp15.000,4.9,https://s3.bukalapak.com/img/84734517592/s-330-330/209477bf_47bb_43a2_bdd4_1409cc7d595e.jpg.webp
Teko teh kopi dengan saringan 1100ml 1.1 liter kaca tea pot glass elegan murah,Kab. Bandung,Rp45.000,4.8,https://s1.bukalapak.com/img/16463911492/s-330-330/data.png.webp
